Format,1,,,,,,,,,,,,,,,,,,,,,,,,,
Emerald Version,3.5.5.0,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,G21-9800,,,,,,,,,,,,,,,,,,,,,,,,,
Environment,Emerald,,,,,,,,,,,,,,,,,,,,,,,,,
Test Name,CYCLE 1 ~ AN 2BAR 80C, CA 28.5BAR ~ Break in conditions ,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,JC,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,Conditioning,,,,,,,,,,,,,,,,,,,,,,,,,
Test Channel,System,,,,,,,,,,,,,,,,,,,,,,,,,
Logger Name,Process_Data,,,,,,,,,,,,,,,,,,,,,,,,,
Profile Name,Universal_Logger.ini,,,,,,,,,,,,,,,,,,,,,,,,,
Number Of Tags,24,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Log Rate,30000 ms,,,,,,,,,,,,,,,,,,,,,,,,,
Start Time,2024-06-22 00:24:26,,,,,,,,,,,,,,,,,,,,,,,,,
-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~,~-~-~-~-~-~
,,,Voltage,Current,Current Density,Temp Anode Inlet Set,Temp Anode Inlet,Temp Anode Outlet,Temp cathode Inlet Set,Temp Cathode Inlet,Temp Cathode Outlet,Pressure Anode Set,Pressure Anode Inlet,Pressure Anode Outlet,Pressure Cathode Set,Pressure Cathode Inlet,Pressure Cathode Outlet,Flow Anode DI Water Supply Set,Flow Anode Di Water Supply,Flow Cathode DI Water Supply Set,Flow Cathode Di Water Supply,Signal In Resistivity Anode,Signal In Resistivity Cathode,Signal In H2 In O2 Sensor,Signal In O2 In H2 Sensor,Signal In E Stop
,s,,V,A,A/cm?,?C,°C,°C,?C,°C,°C,barg,barg,barg,barg,barg,barg,LPM,LPM,LPM,LPM,?S/cm,?S/cm,%,%,OFF/ON
Time Stamp,Elapsed Time,File Mark,voltage,current,current_density,temp_anode_inlet_set,temp_anode_inlet,temp_anode_outlet,temp_cathode_inlet_set,temp_cathode_inlet,temp_cathode_outlet,pressure_anode_set,beck.b1.m07.ch3,beck.b1.m07.ch4,pressure_cathode_set,beck.b1.m08.ch1,beck.b1.m08.ch2,flow_anode_di_water_supply_set,flow_anode_di_water_supply,flow_cathode_di_water_supply_set,flow_cathode_di_water_supply,signal_in_resistivity_anode,signal_in_resistivity_cathode,beck.b1.m11.ch1,beck.b1.m11.ch3,signal_in_e_stop
2024-06-22 00:24:30.005,3.724,,0.993890,0.011700,0.000234,80.000000,80.012177,77.717705,0.000000,26.202396,29.464909,4.000000,1.969249,1.910393,28.500000,28.456276,28.434953,0.500000,0.499527,0.000000,0.000000,0.619910,1.126723,3.016511,0.537126,1.000000
2024-06-22 00:25:00.005,33.724,,0.008540,0.011700,0.000223,80.000000,79.758453,77.462349,0.000000,26.335213,33.976868,4.000000,3.249451,3.166010,28.500000,28.506844,28.485433,0.500000,0.469985,0.000000,0.000000,0.624783,1.126723,3.041511,0.527360,1.000000
2024-06-22 00:25:30.005,63.724,,0.008540,0.011170,0.000245,80.000000,79.599731,77.255623,0.000000,26.375059,33.857220,4.000000,3.965353,3.873874,28.500000,28.506844,28.485433,0.500000,0.499527,0.000000,0.000000,0.600417,1.121849,3.050887,0.524918,1.000000
2024-06-22 00:26:00.005,93.724,,0.004740,0.012240,0.000223,80.000000,79.782867,77.243462,0.000000,26.375059,34.269333,4.000000,3.956931,3.823312,28.500000,28.515272,28.485433,0.500000,0.530412,0.000000,0.000000,0.576052,1.131596,3.055574,0.527360,1.000000
2024-06-22 00:26:30.005,123.724,,0.002850,0.011700,0.000234,80.000000,79.978210,77.377228,0.000000,26.375059,34.781574,4.000000,3.990621,3.873874,28.500000,28.506844,28.477019,0.500000,0.518326,0.000000,0.000000,0.566305,1.126723,3.063387,0.524918,1.000000
2024-06-22 00:27:00.005,153.724,,-0.001900,0.012240,0.000223,80.000000,80.023148,77.365067,0.000000,26.375059,35.106010,4.000000,3.956931,3.857020,28.500000,28.489988,28.477019,0.500000,0.499527,0.000000,0.000000,0.551686,1.121849,3.063387,0.524918,1.000000
2024-06-22 00:27:30.005,183.724,,-0.003790,0.011700,0.000234,80.000000,80.012177,77.389381,0.000000,26.361776,35.326626,4.000000,3.990621,3.857020,28.500000,28.481560,28.485433,0.500000,0.518326,0.000000,0.000000,0.532193,1.126723,3.063387,0.524918,1.000000
2024-06-22 00:28:00.005,213.724,,-0.004740,0.011170,0.000223,80.000000,80.034119,77.438026,0.000000,26.335213,35.391514,4.000000,3.956931,3.848593,28.500000,28.481560,28.451780,0.500000,0.507584,0.000000,0.000000,0.532193,1.121849,3.063387,0.527360,1.000000
2024-06-22 00:28:30.005,243.724,,-0.004740,0.012240,0.000255,80.000000,80.025574,77.521919,0.000000,26.319462,35.135487,4.000000,3.990621,3.882301,28.500000,28.489988,28.477019,0.500000,0.521012,0.000000,0.000000,0.537066,1.112103,3.063387,0.527360,1.000000
